Date,Time,Day of the Week,Origin,Destination,Route,Weather Conditions,Accident Reports,Traffic Intensity,Distance
2025-03-03,01:30:28,Monday,Trường Tiểu học Chợ Lớn,Ngã tư Lê Văn Sỹ,Đường Lê Văn Sỹ,Rainy,0,19,8.49
2025-03-15,21:37:28,Saturday,Chợ Bình Tây,Ngã tư Lê Văn Sỹ,Đường Trường Chinh,Sunny,0,39,5.59
2025-03-11,00:10:28,Tuesday,Bảo tàng Quận 5,Đền Bà Thiên Hậu,Đường Bạch Đằng,Sunny,1,23,4.12
2025-02-25,10:14:28,Tuesday,Trung tâm Thương Mại Chợ Lớn,Trung tâm Văn hóa Dân gian,Đường Lê Lợi,Sunny,0,19,5.73
2025-03-24,20:09:28,Monday,Trường Trung học Chợ Lớn,Đền Vua,Đường Nguyễn Văn Quá,Rainy,0,16,5.96
2025-03-19,20:31:28,Wednesday,Trung tâm Văn hóa Dân gian,Đền Bà Thiên Hậu,Đường Nguyễn Văn Quá,Sunny,1,48,5.93
2025-03-11,16:01:28,Tuesday,Đền Bà Thiên Hậu,Trạm xe buýt Quận 5,Đường Pasteur,Cloudy,1,24,4.17
2025-03-06,16:28:28,Thursday,Chợ Bình Tây,Siêu thị Big C District 5,Đường Trường Chinh,Rainy,1,19,1.95
2025-02-27,16:04:28,Thursday,Trường Tiểu học Chợ Lớn,Đền Vua,Đường Nguyễn Văn Linh,Cloudy,2,22,6.31
2025-03-23,02:17:28,Sunday,Trung tâm Văn hóa Dân gian,Chợ Bình Đông,Đường Tô Hiệu,Cloudy,0,51,1.54
2025-03-23,15:56:28,Sunday,Bảo tàng Quận 5,Cửa hàng Điện máy X,Đường Lý Thường Kiệt,Sunny,0,33,5.62
2025-03-08,22:26:28,Saturday,Nhà thờ Chợ Lớn,Trung tâm Văn hóa Chợ Lớn,Đường Đồng Khởi,Sunny,0,46,3.77
2025-03-06,01:37:28,Thursday,Công viên District 5,Trung tâm Y tế Quận 5,Đường Pasteur,Sunny,0,21,4.83
2025-02-25,02:55:28,Tuesday,Trường Trung học Chợ Lớn,Nhà thờ Chợ Lớn,Đường Lý Thường Kiệt,Sunny,1,11,3.32
2025-03-05,20:03:28,Wednesday,Công viên District 5,Trung tâm Y tế Quận 5,Đường Trường Chinh,Cloudy,1,21,2.39
2025-03-10,03:17:28,Monday,Ngã tư Lê Văn Sỹ,Chợ Bình Tây,Đường Pasteur,Sunny,2,20,5.93
2025-03-25,15:49:28,Tuesday,Trung tâm Thương Mại Chợ Lớn,Cửa hàng Điện máy X,Đường Cách Mạng Tháng Tám,Cloudy,0,48,2.83
2025-03-11,20:23:28,Tuesday,Cửa hàng Điện máy X,Trạm xe buýt Quận 5,Đường Cái Vạn,Sunny,2,39,2.44
2025-03-16,04:36:28,Sunday,Chợ Bình Tây,Bệnh viện Quận 5,Đường Bạch Đằng,Cloudy,0,29,2.29
2025-03-08,19:44:28,Saturday,Trung tâm Văn hóa Chợ Lớn,Đền Bà Thiên Hậu,Đường Trường Chinh,Sunny,0,35,3.05
2025-02-28,14:51:28,Friday,Công viên District 5,Ngã tư Lê Văn Sỹ,Đường Pasteur,Stormy,1,48,6.54
2025-03-02,21:21:28,Sunday,Nhà thờ Chợ Lớn,Ngã tư Lê Văn Sỹ,Đường Cách Mạng Tháng Tám,Cloudy,2,21,7.71
2025-02-25,07:42:28,Tuesday,Sân vận động Quận 5,Trường Tiểu học Chợ Lớn,Đường Tô Hiệu,Sunny,0,37,5.74
2025-02-26,09:10:28,Wednesday,Trung tâm Thương Mại Chợ Lớn,Bưu điện Chợ Lớn,Đường Pasteur,Cloudy,0,57,4.98
2025-03-17,10:47:28,Monday,Bảo tàng Quận 5,Trường Trung học Chợ Lớn,Đường Đồng Khởi,Sunny,2,17,5.9
2025-03-13,00:33:28,Thursday,Siêu thị Big C District 5,Công viên District 5,Đường 3/2,Cloudy,2,50,4.31
2025-02-27,13:22:28,Thursday,Ngã tư Lê Văn Sỹ,Trung tâm Văn hóa Dân gian,Đường Bạch Đằng,Sunny,0,35,3.33
2025-03-20,07:26:28,Thursday,Bệnh viện Quận 5,Trường Tiểu học Chợ Lớn,Đường Cái Vạn,Cloudy,0,35,3.69
2025-03-02,09:35:28,Sunday,Siêu thị Big C District 5,Nhà thờ Chợ Lớn,Đường Trường Chinh,Cloudy,2,39,4.13
2025-03-14,13:32:28,Friday,Ngã tư Lê Văn Sỹ,Đền Vua,Đường 3/2,Cloudy,2,11,4.34
2025-03-03,18:23:28,Monday,Trung tâm Thương Mại Chợ Lớn,Bệnh viện Quận 5,Đường Lý Thường Kiệt,Sunny,1,18,5.78
2025-03-25,18:40:28,Tuesday,Công viên District 5,Trạm xe buýt Quận 5,Đường Lê Văn Sỹ,Cloudy,1,44,2.73
2025-03-09,06:18:28,Sunday,Bệnh viện Quận 5,Sân vận động Quận 5,Đường Lê Văn Sỹ,Rainy,1,27,1.16
2025-03-09,20:03:28,Sunday,Ngã tư Lê Văn Sỹ,Trường Tiểu học Chợ Lớn,Đường 3/2,Rainy,2,31,6.92
2025-03-16,16:54:28,Sunday,Trường Tiểu học Chợ Lớn,Chợ Bình Tây,Đường Lê Văn Sỹ,Sunny,0,44,7.57
2025-03-23,09:21:28,Sunday,Trường Tiểu học Chợ Lớn,Chợ Bình Đông,Đường Trần Hưng Đạo,Sunny,0,41,6.91
2025-03-20,15:01:28,Thursday,Chợ Bình Đông,Sân vận động Quận 5,Đường Đồng Khởi,Cloudy,0,40,2.8
2025-03-09,22:38:28,Sunday,Trung tâm Văn hóa Chợ Lớn,Trung tâm Y tế Quận 5,Đường Tô Hiệu,Sunny,1,5,5.09
2025-03-11,23:46:28,Tuesday,Cửa hàng Điện máy X,Trường Trung học Chợ Lớn,Đường Lê Văn Sỹ,Cloudy,2,22,5.03
2025-03-23,13:02:28,Sunday,Chợ Bình Tây,Trung tâm Văn hóa Dân gian,Đường Lý Thường Kiệt,Sunny,2,13,0.65
2025-03-02,14:22:28,Sunday,Sân vận động Quận 5,Trung tâm Văn hóa Chợ Lớn,Đường Lê Lợi,Cloudy,0,13,4.9
2025-03-01,22:33:28,Saturday,Sân vận động Quận 5,Siêu thị Big C District 5,Đường Đồng Khởi,Rainy,0,37,4.85
2025-02-25,17:59:28,Tuesday,Trung tâm Văn hóa Chợ Lớn,Bệnh viện Quận 5,Đường Lê Lợi,Sunny,2,48,0.84
2025-03-22,14:37:28,Saturday,Đền Bà Thiên Hậu,Trung tâm Văn hóa Dân gian,Đường Trần Hưng Đạo,Rainy,1,10,1.88
2025-03-21,04:42:28,Friday,Sân vận động Quận 5,Đền Bà Thiên Hậu,Đường Nguyễn Văn Linh,Rainy,2,12,1.75
2025-03-09,06:59:28,Sunday,Sân vận động Quận 5,Cửa hàng Điện máy X,Đường Trần Hưng Đạo,Cloudy,0,37,4.73
2025-02-27,17:38:28,Thursday,Sân vận động Quận 5,Trung tâm Văn hóa Dân gian,Đường Lý Tự Trọng,Sunny,0,34,4.49
2025-03-05,17:44:28,Wednesday,Cửa hàng Điện máy X,Ngã tư Lê Văn Sỹ,Đường 3/2,Stormy,0,7,7.66
2025-03-21,07:25:28,Friday,Trạm xe buýt Quận 5,Siêu thị Big C District 5,Đường Nguyễn Văn Linh,Sunny,1,39,1.81
2025-03-17,02:42:28,Monday,Trường Tiểu học Chợ Lớn,Sân vận động Quận 5,Đường Đồng Khởi,Sunny,0,25,2.98
2025-03-23,01:31:28,Sunday,Chợ Bình Đông,Nhà thờ Chợ Lớn,Đường Lý Tự Trọng,Cloudy,1,56,6.48
2025-03-21,21:49:28,Friday,Cửa hàng Điện máy X,Trường Trung học Chợ Lớn,Đường Trần Hưng Đạo,Cloudy,2,9,5.79
2025-03-24,05:12:28,Monday,Trung tâm Y tế Quận 5,Bệnh viện Quận 5,Đường Lê Văn Sỹ,Rainy,3,10,3.44
2025-03-06,02:00:28,Thursday,Ngã tư Lê Văn Sỹ,Đền Vua,Đường Đồng Khởi,Cloudy,0,46,4.12
2025-03-15,05:28:28,Saturday,Trường Tiểu học Chợ Lớn,Ngã tư Lê Văn Sỹ,Đường Cái Vạn,Rainy,1,76,4.55
2025-02-25,06:59:28,Tuesday,Bảo tàng Quận 5,Trung tâm Y tế Quận 5,Đường 3/2,Sunny,3,60,4.17
2025-03-23,12:59:28,Sunday,Trung tâm Y tế Quận 5,Bưu điện Chợ Lớn,Đường Nguyễn Văn Quá,Sunny,4,21,5.1
2025-03-25,06:24:28,Tuesday,Siêu thị Big C District 5,Chợ Bình Tây,Đường Nguyễn Văn Linh,Rainy,1,42,5.92
2025-02-28,12:53:28,Friday,Trạm xe buýt Quận 5,Bưu điện Chợ Lớn,Đường Nguyễn Văn Quá,Rainy,1,30,1.78
2025-03-25,23:16:28,Tuesday,Trạm xe buýt Quận 5,Ngã tư Lê Văn Sỹ,Đường Nguyễn Văn Linh,Sunny,0,75,4.06
2025-03-26,08:41:28,Wednesday,Bưu điện Chợ Lớn,Ngã tư Lê Văn Sỹ,Đường Trường Chinh,Sunny,0,41,5.27
2025-02-25,17:32:28,Tuesday,Bảo tàng Quận 5,Chợ Bình Tây,Đường Lý Thường Kiệt,Sunny,1,13,6.34
2025-03-23,15:30:28,Sunday,Đền Bà Thiên Hậu,Bưu điện Chợ Lớn,Đường Cái Vạn,Sunny,3,18,8.11
2025-03-02,12:39:28,Sunday,Trung tâm Thương Mại Chợ Lớn,Bảo tàng Quận 5,Đường Trường Chinh,Sunny,0,52,3.9
2025-03-21,18:33:28,Friday,Trung tâm Văn hóa Chợ Lớn,Trung tâm Y tế Quận 5,Đường Đồng Khởi,Cloudy,0,9,3.95
2025-03-07,00:48:28,Friday,Trung tâm Thương Mại Chợ Lớn,Đền Vua,Đường Lý Thường Kiệt,Cloudy,3,38,5.05
2025-03-16,09:28:28,Sunday,Trường Trung học Chợ Lớn,Siêu thị Big C District 5,Đường Lý Thường Kiệt,Sunny,0,27,7.55
2025-02-26,15:01:28,Wednesday,Trung tâm Thương Mại Chợ Lớn,Nhà thờ Chợ Lớn,Đường Cái Vạn,Sunny,0,40,4.51
2025-03-11,10:41:28,Tuesday,Sân vận động Quận 5,Ngã tư Lê Văn Sỹ,Đường Pasteur,Sunny,2,9,2.23
2025-03-20,02:56:28,Thursday,Trung tâm Thương Mại Chợ Lớn,Trường Tiểu học Chợ Lớn,Đường Trần Hưng Đạo,Sunny,1,26,5.75
2025-03-16,19:47:28,Sunday,Chợ Bình Tây,Bảo tàng Quận 5,Đường Lý Tự Trọng,Sunny,1,36,4.26
2025-03-01,03:27:28,Saturday,Bệnh viện Quận 5,Trường Tiểu học Chợ Lớn,Đường 3/2,Sunny,1,49,5.13
2025-03-12,00:11:28,Wednesday,Đền Bà Thiên Hậu,Nhà thờ Chợ Lớn,Đường Lý Tự Trọng,Cloudy,1,16,7.3
2025-02-26,00:17:28,Wednesday,Công viên District 5,Trung tâm Văn hóa Chợ Lớn,Đường Nguyễn Văn Linh,Sunny,3,31,2.38
2025-03-18,07:07:28,Tuesday,Siêu thị Big C District 5,Trung tâm Thương Mại Chợ Lớn,Đường Đồng Khởi,Sunny,0,12,4.96
2025-03-09,06:32:28,Sunday,Đền Vua,Đền Bà Thiên Hậu,Đường Cách Mạng Tháng Tám,Sunny,2,12,4.74
2025-03-19,16:36:28,Wednesday,Trạm xe buýt Quận 5,Trường Tiểu học Chợ Lớn,Đường 3/2,Stormy,1,29,4.3
2025-03-10,16:37:28,Monday,Chợ Bình Đông,Trường Trung học Chợ Lớn,Đường Lý Thường Kiệt,Sunny,2,63,3.4
2025-02-26,20:40:28,Wednesday,Bưu điện Chợ Lớn,Trung tâm Văn hóa Chợ Lớn,Đường Lý Thường Kiệt,Sunny,1,31,6.64
2025-03-26,00:30:28,Wednesday,Nhà thờ Chợ Lớn,Đền Bà Thiên Hậu,Đường Lê Lợi,Sunny,0,38,6.84
2025-03-16,17:27:28,Sunday,Bưu điện Chợ Lớn,Nhà thờ Chợ Lớn,Đường Nguyễn Văn Linh,Cloudy,0,42,4.87
2025-03-20,19:36:28,Thursday,Siêu thị Big C District 5,Chợ Bình Đông,Đường Bạch Đằng,Sunny,0,72,2.12
2025-03-25,14:20:28,Tuesday,Sân vận động Quận 5,Siêu thị Big C District 5,Đường Lý Tự Trọng,Cloudy,2,54,8.17
2025-03-02,23:46:28,Sunday,Trung tâm Thương Mại Chợ Lớn,Trường Trung học Chợ Lớn,Đường Trường Chinh,Cloudy,1,21,2.82
2025-03-08,16:10:28,Saturday,Công viên District 5,Trung tâm Văn hóa Dân gian,Đường Đồng Khởi,Sunny,2,3,7.64
2025-03-15,06:33:28,Saturday,Bảo tàng Quận 5,Cửa hàng Điện máy X,Đường Trường Chinh,Sunny,1,18,4.38
2025-03-07,01:49:28,Friday,Trung tâm Văn hóa Dân gian,Trường Trung học Chợ Lớn,Đường Tô Hiệu,Sunny,0,16,4.79
2025-03-16,04:23:28,Sunday,Trường Tiểu học Chợ Lớn,Trung tâm Văn hóa Chợ Lớn,Đường Pasteur,Sunny,1,37,10.21
2025-03-06,11:20:28,Thursday,Bảo tàng Quận 5,Ngã tư Lê Văn Sỹ,Đường Nguyễn Văn Linh,Sunny,1,52,4.55
2025-03-01,22:32:28,Saturday,Công viên District 5,Cửa hàng Điện máy X,Đường Lý Tự Trọng,Sunny,1,14,4.16
2025-03-03,19:28:28,Monday,Siêu thị Big C District 5,Trung tâm Văn hóa Chợ Lớn,Đường Nguyễn Văn Linh,Sunny,0,12,11.28
2025-03-01,06:37:28,Saturday,Ngã tư Lê Văn Sỹ,Trung tâm Y tế Quận 5,Đường Đồng Khởi,Cloudy,2,30,5.45
2025-03-06,00:08:28,Thursday,Đền Bà Thiên Hậu,Trung tâm Văn hóa Chợ Lớn,Đường Pasteur,Rainy,2,17,4.46
2025-03-11,14:32:28,Tuesday,Trạm xe buýt Quận 5,Công viên District 5,Đường Lý Thường Kiệt,Cloudy,1,49,6.13
2025-03-10,08:54:28,Monday,Bệnh viện Quận 5,Trung tâm Thương Mại Chợ Lớn,Đường Lê Lợi,Sunny,0,39,3.36
2025-02-28,15:21:28,Friday,Trung tâm Y tế Quận 5,Công viên District 5,Đường 3/2,Cloudy,2,49,4.1
2025-03-25,01:11:28,Tuesday,Đền Vua,Trạm xe buýt Quận 5,Đường Lê Lợi,Cloudy,2,25,4.94
2025-03-14,05:29:28,Friday,Chợ Bình Tây,Sân vận động Quận 5,Đường Lý Thường Kiệt,Sunny,1,31,6.11
2025-03-09,19:04:28,Sunday,Trung tâm Y tế Quận 5,Bảo tàng Quận 5,Đường Bạch Đằng,Sunny,3,42,5.01
2025-03-04,13:31:28,Tuesday,Bưu điện Chợ Lớn,Công viên District 5,Đường Bạch Đằng,Cloudy,1,26,5.15
2025-03-12,18:11:28,Wednesday,Trạm xe buýt Quận 5,Trường Trung học Chợ Lớn,Đường Nguyễn Văn Linh,Sunny,1,47,4.47
2025-03-25,01:30:28,Tuesday,Bảo tàng Quận 5,Đền Vua,Đường Bạch Đằng,Rainy,1,37,4.72
2025-03-24,06:33:28,Monday,Bưu điện Chợ Lớn,Trung tâm Văn hóa Dân gian,Đường 3/2,Sunny,4,35,3.89
2025-03-11,20:16:28,Tuesday,Chợ Bình Tây,Bệnh viện Quận 5,Đường Lý Thường Kiệt,Sunny,0,23,5.19
2025-03-19,21:32:28,Wednesday,Bưu điện Chợ Lớn,Trung tâm Y tế Quận 5,Đường Pasteur,Cloudy,0,25,6.03
2025-03-25,21:37:28,Tuesday,Trường Trung học Chợ Lớn,Bưu điện Chợ Lớn,Đường Lê Lợi,Cloudy,2,26,4.57
2025-03-10,04:03:28,Monday,Đền Vua,Bảo tàng Quận 5,Đường Lê Văn Sỹ,Cloudy,0,28,4.19
2025-02-27,04:30:28,Thursday,Cửa hàng Điện máy X,Đền Vua,Đường Tô Hiệu,Cloudy,3,36,4.99
2025-03-18,16:18:28,Tuesday,Sân vận động Quận 5,Trường Trung học Chợ Lớn,Đường Cái Vạn,Cloudy,1,6,6.72
2025-03-02,08:50:28,Sunday,Cửa hàng Điện máy X,Trung tâm Văn hóa Chợ Lớn,Đường Đồng Khởi,Sunny,0,59,2.56
2025-03-25,12:13:28,Tuesday,Trung tâm Thương Mại Chợ Lớn,Trường Tiểu học Chợ Lớn,Đường Trường Chinh,Rainy,1,4,6.45
2025-03-03,10:04:28,Monday,Trung tâm Văn hóa Dân gian,Công viên District 5,Đường Lý Thường Kiệt,Cloudy,0,44,7.69
2025-03-22,16:44:28,Saturday,Cửa hàng Điện máy X,Trung tâm Y tế Quận 5,Đường Bạch Đằng,Rainy,0,30,3.78
2025-03-01,19:51:28,Saturday,Trạm xe buýt Quận 5,Trường Tiểu học Chợ Lớn,Đường Lê Văn Sỹ,Sunny,2,18,3.21
2025-03-17,10:37:28,Monday,Bưu điện Chợ Lớn,Siêu thị Big C District 5,Đường Bạch Đằng,Sunny,2,50,6.27
2025-03-15,10:21:28,Saturday,Trung tâm Văn hóa Dân gian,Chợ Bình Đông,Đường Cái Vạn,Sunny,0,21,5.48
2025-03-10,18:54:28,Monday,Trung tâm Y tế Quận 5,Trung tâm Thương Mại Chợ Lớn,Đường Cách Mạng Tháng Tám,Sunny,0,29,3.82
2025-02-25,23:33:28,Tuesday,Trung tâm Văn hóa Chợ Lớn,Trung tâm Thương Mại Chợ Lớn,Đường Cách Mạng Tháng Tám,Cloudy,0,48,4.86
2025-03-21,06:57:28,Friday,Đền Bà Thiên Hậu,Chợ Bình Đông,Đường Lý Thường Kiệt,Stormy,0,32,2.61
2025-03-16,10:38:28,Sunday,Trung tâm Văn hóa Dân gian,Trạm xe buýt Quận 5,Đường Lê Lợi,Rainy,1,66,5.44
2025-03-18,17:48:28,Tuesday,Công viên District 5,Siêu thị Big C District 5,Đường Bạch Đằng,Sunny,1,43,5.72
2025-03-18,02:39:28,Tuesday,Sân vận động Quận 5,Siêu thị Big C District 5,Đường 3/2,Sunny,1,59,3.91
2025-03-25,10:50:28,Tuesday,Trường Trung học Chợ Lớn,Đền Vua,Đường Tô Hiệu,Sunny,1,56,5.52
2025-03-09,00:11:28,Sunday,Trường Trung học Chợ Lớn,Chợ Bình Tây,Đường Pasteur,Sunny,2,12,5.77
2025-03-07,16:28:28,Friday,Công viên District 5,Chợ Bình Đông,Đường Lý Tự Trọng,Sunny,1,21,7.9
2025-03-14,12:28:28,Friday,Công viên District 5,Trung tâm Văn hóa Dân gian,Đường Lý Thường Kiệt,Sunny,0,33,6.05
2025-03-13,16:12:28,Thursday,Đền Bà Thiên Hậu,Bưu điện Chợ Lớn,Đường Đồng Khởi,Sunny,2,35,1.97
2025-03-18,19:19:28,Tuesday,Trung tâm Văn hóa Chợ Lớn,Trung tâm Y tế Quận 5,Đường Lê Lợi,Sunny,1,8,4.57
2025-03-23,03:01:28,Sunday,Công viên District 5,Trung tâm Y tế Quận 5,Đường Lý Thường Kiệt,Cloudy,1,22,7.47
2025-03-11,18:17:28,Tuesday,Công viên District 5,Cửa hàng Điện máy X,Đường Trường Chinh,Sunny,1,25,3.3
2025-03-04,20:05:28,Tuesday,Bảo tàng Quận 5,Sân vận động Quận 5,Đường Lê Văn Sỹ,Rainy,1,47,5.97
2025-03-08,11:28:28,Saturday,Chợ Bình Đông,Trường Trung học Chợ Lớn,Đường Pasteur,Sunny,0,29,6.72
2025-03-06,08:49:28,Thursday,Trạm xe buýt Quận 5,Nhà thờ Chợ Lớn,Đường Cái Vạn,Stormy,2,35,6.28
2025-03-11,17:55:28,Tuesday,Nhà thờ Chợ Lớn,Chợ Bình Đông,Đường Bạch Đằng,Cloudy,3,23,4.54
2025-03-06,00:02:28,Thursday,Đền Vua,Trường Trung học Chợ Lớn,Đường Lý Thường Kiệt,Cloudy,1,22,6.23
2025-03-21,12:32:28,Friday,Trung tâm Y tế Quận 5,Bảo tàng Quận 5,Đường Nguyễn Văn Quá,Sunny,0,17,5.98
2025-03-20,21:55:28,Thursday,Trung tâm Thương Mại Chợ Lớn,Cửa hàng Điện máy X,Đường Cái Vạn,Sunny,0,36,6.38
2025-03-07,11:59:28,Friday,Trung tâm Thương Mại Chợ Lớn,Chợ Bình Đông,Đường Cách Mạng Tháng Tám,Rainy,0,29,4.51
2025-03-09,01:59:28,Sunday,Trung tâm Y tế Quận 5,Chợ Bình Đông,Đường Trần Hưng Đạo,Cloudy,1,38,8.18
2025-03-09,19:55:28,Sunday,Cửa hàng Điện máy X,Trường Tiểu học Chợ Lớn,Đường Nguyễn Văn Quá,Sunny,3,31,7.03
2025-03-01,17:33:28,Saturday,Đền Vua,Cửa hàng Điện máy X,Đường Lý Tự Trọng,Cloudy,2,19,5.21
2025-03-17,18:08:28,Monday,Cửa hàng Điện máy X,Nhà thờ Chợ Lớn,Đường Lê Lợi,Sunny,2,15,3.66
2025-02-24,21:21:28,Monday,Trường Trung học Chợ Lớn,Chợ Bình Tây,Đường Pasteur,Sunny,3,31,5.44
2025-03-07,14:53:28,Friday,Sân vận động Quận 5,Bảo tàng Quận 5,Đường Nguyễn Văn Linh,Sunny,1,26,6.84
2025-02-28,20:02:28,Friday,Ngã tư Lê Văn Sỹ,Trường Tiểu học Chợ Lớn,Đường Cái Vạn,Cloudy,0,18,2.66
2025-03-13,13:00:28,Thursday,Ngã tư Lê Văn Sỹ,Đền Bà Thiên Hậu,Đường Cái Vạn,Sunny,2,10,2.71
2025-03-20,21:53:28,Thursday,Bảo tàng Quận 5,Trung tâm Thương Mại Chợ Lớn,Đường 3/2,Sunny,0,11,1.76
2025-03-23,00:33:28,Sunday,Chợ Bình Đông,Nhà thờ Chợ Lớn,Đường 3/2,Rainy,1,16,5.71
2025-03-07,21:47:28,Friday,Trung tâm Thương Mại Chợ Lớn,Trung tâm Văn hóa Dân gian,Đường Lý Tự Trọng,Cloudy,1,24,4.94
2025-03-04,07:07:28,Tuesday,Bưu điện Chợ Lớn,Chợ Bình Tây,Đường Lý Tự Trọng,Cloudy,7,34,7.78
2025-02-28,01:18:28,Friday,Trạm xe buýt Quận 5,Sân vận động Quận 5,Đường 3/2,Sunny,2,50,3.5
2025-03-14,23:19:28,Friday,Ngã tư Lê Văn Sỹ,Nhà thờ Chợ Lớn,Đường Lê Văn Sỹ,Sunny,0,38,4.0
2025-03-11,13:42:28,Tuesday,Sân vận động Quận 5,Đền Bà Thiên Hậu,Đường Lê Văn Sỹ,Cloudy,0,22,7.35
2025-03-26,04:21:28,Wednesday,Chợ Bình Tây,Trung tâm Văn hóa Chợ Lớn,Đường Tô Hiệu,Sunny,1,4,2.28
2025-03-22,20:04:28,Saturday,Trường Tiểu học Chợ Lớn,Trung tâm Thương Mại Chợ Lớn,Đường Lý Thường Kiệt,Rainy,0,11,2.86
2025-02-27,19:17:28,Thursday,Công viên District 5,Đền Vua,Đường Nguyễn Văn Quá,Cloudy,0,8,3.58
2025-03-05,10:48:28,Wednesday,Chợ Bình Tây,Trung tâm Y tế Quận 5,Đường Cái Vạn,Sunny,0,2,6.29
2025-03-05,09:47:28,Wednesday,Đền Bà Thiên Hậu,Bệnh viện Quận 5,Đường Đồng Khởi,Sunny,1,5,3.84
2025-03-11,18:42:28,Tuesday,Nhà thờ Chợ Lớn,Chợ Bình Tây,Đường Nguyễn Văn Linh,Sunny,1,38,4.04
2025-03-02,19:22:28,Sunday,Bệnh viện Quận 5,Trường Trung học Chợ Lớn,Đường Bạch Đằng,Sunny,0,24,6.06
2025-03-09,16:29:28,Sunday,Trung tâm Văn hóa Chợ Lớn,Chợ Bình Tây,Đường Lê Văn Sỹ,Sunny,1,18,4.62
2025-02-26,04:35:28,Wednesday,Bưu điện Chợ Lớn,Nhà thờ Chợ Lớn,Đường 3/2,Sunny,1,31,9.02
2025-03-23,07:41:28,Sunday,Cửa hàng Điện máy X,Trung tâm Văn hóa Chợ Lớn,Đường Cái Vạn,Sunny,3,37,3.49
2025-03-14,19:24:28,Friday,Trung tâm Văn hóa Dân gian,Trung tâm Thương Mại Chợ Lớn,Đường Lê Lợi,Rainy,1,7,4.93
2025-03-20,03:45:28,Thursday,Trung tâm Văn hóa Chợ Lớn,Đền Vua,Đường Cái Vạn,Sunny,0,24,2.89
2025-03-11,01:31:28,Tuesday,Trung tâm Thương Mại Chợ Lớn,Cửa hàng Điện máy X,Đường Nguyễn Văn Quá,Sunny,0,12,4.58
2025-03-04,12:52:28,Tuesday,Đền Bà Thiên Hậu,Công viên District 5,Đường Lê Văn Sỹ,Sunny,0,32,7.16
2025-02-25,18:36:28,Tuesday,Bưu điện Chợ Lớn,Siêu thị Big C District 5,Đường Trường Chinh,Sunny,0,15,7.5
2025-02-27,23:01:28,Thursday,Bưu điện Chợ Lớn,Trường Tiểu học Chợ Lớn,Đường Cách Mạng Tháng Tám,Cloudy,0,23,3.76
2025-03-06,00:53:28,Thursday,Trung tâm Thương Mại Chợ Lớn,Cửa hàng Điện máy X,Đường 3/2,Sunny,0,49,3.58
2025-03-25,17:29:28,Tuesday,Bệnh viện Quận 5,Công viên District 5,Đường Nguyễn Văn Quá,Cloudy,2,34,4.86
2025-03-01,20:02:28,Saturday,Trường Tiểu học Chợ Lớn,Bệnh viện Quận 5,Đường Lê Lợi,Cloudy,1,16,4.36
2025-03-08,02:08:28,Saturday,Nhà thờ Chợ Lớn,Trung tâm Văn hóa Dân gian,Đường Nguyễn Văn Linh,Sunny,1,17,0.5
2025-03-02,06:25:28,Sunday,Trường Tiểu học Chợ Lớn,Trường Trung học Chợ Lớn,Đường Nguyễn Văn Quá,Cloudy,0,53,4.59
2025-03-10,02:28:28,Monday,Trường Trung học Chợ Lớn,Siêu thị Big C District 5,Đường Lý Tự Trọng,Sunny,1,3,7.24
2025-02-24,17:58:28,Monday,Bệnh viện Quận 5,Đền Vua,Đường Pasteur,Cloudy,3,9,5.43
2025-03-16,01:33:28,Sunday,Trường Tiểu học Chợ Lớn,Đền Vua,Đường Nguyễn Văn Quá,Cloudy,1,5,4.96
2025-03-23,01:41:28,Sunday,Công viên District 5,Trung tâm Thương Mại Chợ Lớn,Đường Lê Văn Sỹ,Cloudy,0,8,4.32
2025-03-25,11:55:28,Tuesday,Bảo tàng Quận 5,Trung tâm Thương Mại Chợ Lớn,Đường Cách Mạng Tháng Tám,Cloudy,1,16,3.37
2025-03-21,13:26:28,Friday,Công viên District 5,Bệnh viện Quận 5,Đường Pasteur,Sunny,2,25,4.34
2025-03-07,01:59:28,Friday,Công viên District 5,Trung tâm Y tế Quận 5,Đường Tô Hiệu,Cloudy,1,9,5.24
2025-03-11,18:00:28,Tuesday,Bệnh viện Quận 5,Trung tâm Y tế Quận 5,Đường Lê Văn Sỹ,Sunny,2,49,6.76
2025-03-11,15:43:28,Tuesday,Cửa hàng Điện máy X,Chợ Bình Đông,Đường Cách Mạng Tháng Tám,Sunny,3,62,3.29
2025-03-14,06:36:28,Friday,Bệnh viện Quận 5,Công viên District 5,Đường Trường Chinh,Sunny,2,18,2.8
2025-03-25,15:07:28,Tuesday,Ngã tư Lê Văn Sỹ,Đền Bà Thiên Hậu,Đường Pasteur,Rainy,0,4,4.02
2025-03-15,11:27:28,Saturday,Trường Trung học Chợ Lớn,Bưu điện Chợ Lớn,Đường Cách Mạng Tháng Tám,Sunny,0,16,3.88
2025-03-13,08:05:28,Thursday,Trung tâm Thương Mại Chợ Lớn,Trung tâm Y tế Quận 5,Đường Tô Hiệu,Cloudy,0,16,2.3
2025-03-13,09:37:28,Thursday,Bệnh viện Quận 5,Trường Trung học Chợ Lớn,Đường Lý Thường Kiệt,Sunny,2,11,6.21
2025-03-08,20:18:28,Saturday,Trung tâm Y tế Quận 5,Trung tâm Văn hóa Dân gian,Đường Bạch Đằng,Sunny,0,20,4.96
